feature,mean,std_dev,variance
avg_payload_var,6381.299960929996,658.8710565448762,434111.0691525615
payload_byte_2_mean,129.04547618579693,52.5909130354347,2765.804133900656
payload_byte_3_max,204.90862264345319,47.90454090140449,2294.8450389743357
payload_byte_3_min,50.63933244050685,47.8630295366082,2290.8695964222293
payload_byte_3_mean,127.51047392945095,44.76198525316374,2003.6353238044483
payload_byte_2_max,161.2666117234985,43.960826848733355,1932.5542972243152
payload_byte_2_min,74.74276295456887,42.500620811089554,1806.3027693280187
payload_byte_1_max,242.48748325950345,37.859035051782584,1433.3065350521024
payload_byte_1_mean,100.41776831649115,27.431008598037213,752.4602327055915
payload_byte_3_std,53.191883675804384,25.194063997156434,634.7408606928141
payload_byte_1_std,105.24882304360558,23.1867224862833,537.6240996559158
payload_byte_2_std,23.32306028871722,21.4708580527201,460.99774552005556
payload_byte_5_mean,127.44968869885936,17.32433537409029,300.1325961539562
payload_byte_6_mean,127.37339165088092,14.345510351095522,205.79366723338873
total_frames,75.75636138868857,12.824854788198275,164.47690033837222
payload_byte_4_mean,127.46940780830806,12.502095126481745,156.30238255159858
payload_byte_6_max,248.59142886576697,8.566088376159067,73.37787006816748
payload_byte_6_min,6.239929947460595,8.308857405811377,69.03711139010656
payload_byte_7_min,5.637787163902338,7.552771004902266,57.04434985249238
payload_byte_7_max,249.4049654888225,7.419650514047884,55.051213750611026
payload_byte_7_mean,127.47647837439557,7.302756737466237,53.33025596660851
payload_byte_4_max,250.60863294529722,6.831312047480069,46.666824290046335
payload_byte_6_std,72.25224557116779,6.520771595292538,42.52046219797399
payload_byte_4_min,4.284639950551148,6.355598052411315,40.3936266038145
payload_byte_5_max,251.52436386113115,4.999989572901175,24.999895729120475
payload_byte_5_min,3.427114453487174,4.872336655383748,23.739664483396087
payload_byte_5_std,71.68240194302743,4.770721995384452,22.75978835724501
payload_byte_7_std,73.41355923839761,4.011117000953213,16.0890595953359
payload_byte_4_std,72.77085752592744,2.9831708335637708,8.899308222225564
payload_byte_0_max,13.283815803028743,2.8382286150704092,8.055541671404493
duration_ms,98.26105375595462,2.4912954006171675,6.206552773136252
unique_ids,16.306891933656125,2.089457433038448,4.365832364479622
payload_byte_0_mean,4.867649732433333,1.4232662742311897,2.025686887363932
payload_byte_0_std,5.424215950689334,1.2196004191054242,1.4874251822821263
mean_dt_ms,1.3931308947770462,0.4329811831250268,0.187472704940348
entropy_ids,3.326661817846336,0.26813782737736835,0.0718978944706554
std_dt_ms,1.8614353467726208,0.18249802963567338,0.03330553082090312
avg_dlc,7.999926889005257,0.004173317333173952,1.7416577563370147e-05
payload_byte_0_min,0.0,0.0,0.0
payload_byte_1_min,0.0,0.0,0.0
