threshold,tp,fp,tn,fn,precision,recall,f1,fpr,tpr,support_pos,support_neg,fp_per_hour,dataset,split,detector
0.6096660462923245,116,0,0,11397,1.0,0.0100755667506297,0.0199501246882792,,0.0100755667506297,11513,0,0.0,hcrl,val,isolation_forest
0.2256797405275305,116,0,0,11397,1.0,0.0100755667506297,0.0199501246882792,,0.0100755667506297,11513,0,0.0,hcrl,val,pca
0.0376081479686996,116,0,0,11397,1.0,0.0100755667506297,0.0199501246882792,,0.0100755667506297,11513,0,0.0,hcrl,val,autoencoder
0.6096660462923245,593,0,0,56972,1.0,0.0103013984191783,0.0203927232710891,,0.0103013984191783,57565,0,0.0,hcrl,test,isolation_forest
0.2256797405275305,559,0,0,57006,1.0,0.0097107617475896,0.0192347395224003,,0.0097107617475896,57565,0,0.0,hcrl,test,pca
0.0376081479686996,590,0,0,56975,1.0,0.010249283418744,0.0202906026996818,,0.010249283418744,57565,0,0.0,hcrl,test,autoencoder
0.6096660462923245,116,0,0,11397,1.0,0.010075566750629723,0.019950124688279298,,0.010075566750629723,11513,0,0.0,hcrl,val,isolation_forest
0.22567974052753056,116,0,0,11397,1.0,0.010075566750629723,0.019950124688279298,,0.010075566750629723,11513,0,0.0,hcrl,val,pca
0.03760814796869969,116,0,0,11397,1.0,0.010075566750629723,0.019950124688279298,,0.010075566750629723,11513,0,0.0,hcrl,val,autoencoder
0.6096660462923245,593,0,0,56972,1.0,0.01030139841917832,0.020392723271089104,,0.01030139841917832,57565,0,0.0,hcrl,test,isolation_forest
0.22567974052753056,559,0,0,57006,1.0,0.009710761747589681,0.019234739522400384,,0.009710761747589681,57565,0,0.0,hcrl,test,pca
0.03760814796869969,590,0,0,56975,1.0,0.010249283418744029,0.020290602699681887,,0.010249283418744029,57565,0,0.0,hcrl,test,autoencoder
